transaction_id,vendor_id,transaction_date,transaction_type,amount,currency,account_id,account_name,description,status,invoice_number,reference_number,notes
TXN0000001,V00439,2024-12-19,Payment,700.42,USD,1013,Service Revenue,Transaction for V00439,Rejected,INV725850,REF52421,
TXN0000002,V00416,2024-08-22,Invoice,1039.1,USD,1006,Short-term Debt,Transaction for V00416,Hold,INV390794,REF26631,
TXN0000003,V00278,2023-09-29,Refund,208.47,USD,1025,Depreciation,Transaction for V00278,Completed,INV381770,REF59174,
TXN0000004,V00378,2023-07-10,Refund,1566.04,USD,1023,Insurance,Transaction for V00378,Hold,INV102593,REF22208,
TXN0000005,V00541,2025-07-27,Refund,255.98,USD,1013,Service Revenue,Transaction for V00541,Completed,INV438548,REF54270,
TXN0000006,V00462,2023-09-25,Payment,708.08,USD,1003,Equipment,Transaction for V00462,Pending,INV977345,REF26284,
TXN0000007,V00279,2023-11-20,Expense,3329.38,USD,1008,Accrued Expenses,Transaction for V00279,Completed,INV387330,,
TXN0000008,V00321,2023-06-18,Expense,362.01,USD,1025,Depreciation,Transaction for V00321,Completed,INV195629,REF10142,
TXN0000009,V00534,2023-06-09,Refund,475.07,USD,1007,Long-term Debt,Transaction for V00534,Completed,INV340068,REF23425,
TXN0000010,V00141,2025-01-22,Invoice,309.66,USD,1008,Accrued Expenses,Transaction for V00141,Pending,INV108886,REF31511,
TXN0000011,V00514,2024-03-12,Payment,4556.0,USD,1013,Service Revenue,Transaction for V00514,Pending,,,
TXN0000012,V00323,2024-12-20,Expense,106.19,USD,1015,Consulting,Transaction for V00323,Pending,INV730193,REF89638,
TXN0000013,V00309,2023-02-24,Expense,858.49,USD,1025,Depreciation,Transaction for V00309,Pending,INV932336,REF74865,
TXN0000014,V00262,2024-05-08,Expense,5578.9,USD,1000,Cash,Transaction for V00262,Rejected,,REF84498,
TXN0000015,V00043,2023-12-20,Refund,36121.84,USD,1003,Equipment,Transaction for V00043,Rejected,INV625387,REF65518,
TXN0000016,V00368,2023-06-18,Payment,1310.42,USD,1017,Rent,Transaction for V00368,Rejected,,REF30365,
TXN0000017,V00393,2025-03-11,Invoice,1865.65,USD,1027,Payroll Tax,Transaction for V00393,Pending,INV555589,,
TXN0000018,V00429,2023-04-23,Payment,29.75,USD,1011,Additional Paid-in Capital,Transaction for V00429,Pending,INV835575,,
TXN0000019,V00478,2024-12-11,Payment,797.68,USD,1017,Rent,Transaction for V00478,Pending,INV550179,,Data quality issue
TXN0000020,V00148,2023-06-07,Credit Memo,100.34,USD,1031,Software Licenses,Transaction for V00148,Completed,INV367508,REF85223,
TXN0000021,V00148,2023-08-25,Refund,119934.69,USD,1023,Insurance,Transaction for V00148,Completed,,REF14635,
TXN0000022,V00135,2025-05-08,Expense,430.03,USD,1020,Travel,Transaction for V00135,Pending,INV225200,REF16903,
TXN0000023,V00411,2025-11-22,Expense,3073.92,USD,1019,Office Supplies,Transaction for V00411,Pending,INV108356,REF48219,
TXN0000024,V00135,2024-09-14,Invoice,1031.64,USD,1031,Software Licenses,Transaction for V00135,Completed,,REF13133,
TXN0000025,V00425,2024-12-10,Payment,202696.47,USD,1019,Office Supplies,Transaction for V00425,Completed,INV349736,REF17850,
TXN0000026,V00116,2023-10-19,Credit Memo,13.13,USD,1014,Subscription Revenue,Transaction for V00116,Hold,INV490586,REF21128,
TXN0000027,V00548,2025-11-01,Invoice,48.96,USD,1008,Accrued Expenses,Transaction for V00548,Rejected,INV430310,REF61505,
TXN0000028,V00416,2024-10-30,Invoice,2100.16,USD,1012,Product Sales,Transaction for V00416,Pending,,,
TXN0000029,V00294,2025-04-12,Payment,1526.84,USD,1016,Salaries & Wages,Transaction for V00294,Pending,,REF89076,Data quality issue
TXN0000030,V00278,2024-11-02,Refund,298.65,USD,1022,Maintenance,Transaction for V00278,Pending,INV372804,REF32789,Data quality issue
TXN0000031,V00256,2025-04-08,Payment,869.43,USD,1007,Long-term Debt,Transaction for V00256,Pending,INV333086,,
TXN0000032,V00245,2025-02-01,Payment,678.5,USD,1016,Salaries & Wages,Transaction for V00245,Pending,INV307356,REF68121,
TXN0000033,V00340,2023-07-08,Refund,12453.16,USD,1027,Payroll Tax,Transaction for V00340,Hold,,REF32650,
TXN0000034,V00394,2024-01-19,Credit Memo,11212.62,USD,1002,Inventory,Transaction for V00394,Completed,INV623125,REF82179,
TXN0000035,V00377,2023-06-29,Credit Memo,32.86,USD,1015,Consulting,Transaction for V00377,Pending,INV919898,REF72873,
TXN0000036,V00226,2025-09-19,Expense,1626.73,USD,1024,Professional Services,Transaction for V00226,Completed,,REF13840,
TXN0000037,V00434,2024-07-29,Payment,14.09,USD,1010,Retained Earnings,Transaction for V00434,Completed,INV379473,REF17328,
TXN0000038,V00398,2024-03-25,Invoice,215.39,USD,1011,Additional Paid-in Capital,Transaction for V00398,Completed,INV945372,REF57026,
TXN0000039,V00294,2023-02-27,Refund,4614.87,USD,1012,Product Sales,Transaction for V00294,Rejected,,,Data quality issue
TXN0000040,V00408,2024-03-24,Invoice,3290.5,USD,1012,Product Sales,Transaction for V00408,Rejected,INV941403,REF52413,Data quality issue
TXN0000041,V00385,2023-10-30,Expense,728.12,USD,1004,Prepaid Expenses,Transaction for V00385,Hold,INV452909,REF27884,
TXN0000042,V00462,2025-06-13,Credit Memo,8.79,USD,1011,Additional Paid-in Capital,Transaction for V00462,Rejected,INV717558,REF59595,
TXN0000043,V00323,2024-08-26,Invoice,9063.03,USD,1002,Inventory,Transaction for V00323,Rejected,INV741079,,
TXN0000044,V00378,2025-10-13,Expense,417.86,USD,1022,Maintenance,Transaction for V00378,Completed,INV193035,REF97821,
TXN0000045,V00141,2024-11-18,Payment,871.73,USD,1006,Short-term Debt,Transaction for V00141,Pending,INV868170,REF31802,
TXN0000046,V00360,2025-10-06,Refund,7913.11,USD,1006,Short-term Debt,Transaction for V00360,Completed,,,
TXN0000047,V00141,2024-08-26,Invoice,853.55,USD,1024,Professional Services,Transaction for V00141,Pending,INV197627,REF90431,
TXN0000048,V00321,2023-03-05,Invoice,318.98,USD,1027,Payroll Tax,Transaction for V00321,Pending,,,
TXN0000049,V00145,2024-06-27,Invoice,424.06,USD,1031,Software Licenses,Transaction for V00145,Pending,INV548377,,
TXN0000050,V00254,2025-09-10,Payment,762.22,USD,1018,Utilities,Transaction for V00254,Hold,INV423331,REF71727,
TXN0000051,V00396,2024-06-26,Refund,93.25,USD,1011,Additional Paid-in Capital,Transaction for V00396,Pending,INV587648,,
TXN0000052,V00541,2023-05-07,Expense,1408.88,USD,1005,Accounts Payable,Transaction for V00541,Hold,INV718372,,Data quality issue
TXN0000053,V00429,2025-03-03,Refund,7925.26,USD,1015,Consulting,Transaction for V00429,Rejected,,REF14551,
TXN0000054,V00151,2025-11-24,Invoice,209.91,USD,1028,Benefits,Transaction for V00151,Completed,INV947732,,Data quality issue
TXN0000055,V00446,2023-06-10,Expense,1219.98,USD,1016,Salaries & Wages,Transaction for V00446,Pending,,REF82358,
TXN0000056,V00369,2024-07-19,Payment,14056.82,USD,1026,Vendor Payments,Transaction for V00369,Hold,,REF86372,
TXN0000057,V00104,2023-07-25,Expense,987.83,USD,1026,Vendor Payments,Transaction for V00104,Hold,INV699809,REF14910,
TXN0000058,V00504,2025-04-05,Payment,8.0,USD,1025,Depreciation,Transaction for V00504,Hold,INV447596,REF16460,
TXN0000059,V00021,2024-07-04,Payment,62.58,USD,1031,Software Licenses,Transaction for V00021,Completed,,REF68079,
TXN0000060,V00528,2024-10-19,Invoice,8311.2,USD,1005,Accounts Payable,Transaction for V00528,Hold,INV963994,REF73499,
TXN0000061,V00528,2025-02-04,Invoice,487.81,USD,1025,Depreciation,Transaction for V00528,Pending,,REF36309,
TXN0000062,V00419,2024-05-25,Expense,197.96,USD,1012,Product Sales,Transaction for V00419,Rejected,INV629663,REF26236,
TXN0000063,V00262,2024-05-10,Expense,3.33,USD,1022,Maintenance,Transaction for V00262,Completed,INV371224,REF21847,
TXN0000064,V00231,2025-03-02,Invoice,2184.68,USD,1013,Service Revenue,Transaction for V00231,Completed,INV382154,REF77276,Data quality issue
TXN0000065,V00112,2023-01-19,Expense,694.54,USD,1019,Office Supplies,Transaction for V00112,Hold,INV992952,REF43029,
TXN0000066,V00397,2024-09-10,Payment,46.19,USD,1006,Short-term Debt,Transaction for V00397,Rejected,INV722615,REF49121,
TXN0000067,V00400,2025-09-13,Invoice,32.35,USD,1019,Office Supplies,Transaction for V00400,Completed,INV351974,REF88647,
TXN0000068,V00225,2024-10-16,Expense,18.66,USD,1031,Software Licenses,Transaction for V00225,Rejected,INV524252,REF14629,
TXN0000069,V00278,2024-01-24,Credit Memo,618.57,USD,1022,Maintenance,Transaction for V00278,Rejected,INV981473,REF83170,
